Category,Total,Coalition,Opposition,Coalition_Percentage
Agenda_דחופה,2252,510,494,22.6
Agenda_דיון מהיר,3309,674,805,20.4
Agenda_כוללת,435,0,0,0.0
Agenda_פגרה,114,5,44,4.4
Agenda_רגילה,192,25,58,13.0
Bill_ועדה,2,1,0,50.0
Bill_ממשלתית,73,12,21,16.4
Bill_פרטית,16703,3876,4041,23.2
Query_דחופה,370,68,103,18.4
Query_רגילה,2209,206,865,9.3
