QueryID,Number,KnessetNum,Name,TypeID,TypeDesc,StatusID,PersonID,GovMinistryID,SubmitDate,ReplyMinisterDate,LastUpdatedDate
2228397,2939.0,25,אפליה בהקצאת תמיכה לגופי הדרכת טיולים המתמחים בהדרכת טיולים לתלמידי החינוך המיוחד ,48,רגילה,9,30682,1004,2025-02-25T15:15:40.517,2025-03-20T00:00:00,2025-03-26T11:14:45.42
2228400,2940.0,25,קפה ותה בחדר המורים,48,רגילה,9,30682,1004,2025-02-25T15:17:21.237,2025-05-14T00:00:00,2025-05-14T14:19:36.167
2228419,2941.0,25,תוכנית לאומית למניעת סרטן העור,48,רגילה,6,30782,1112,2025-02-25T15:24:24.684,,2025-02-25T15:28:12.52
2228432,2905.0,25,"דו""ח חדש חושף שזיהום האוויר גובה את חייהם של כ-5,500 ישראלים בשנה, יותר מפי 2 ממה שסברו קודם לכן",50,דחופה,9,30872,1332,2025-02-17T12:36:39.383,2025-02-19T00:00:00,2025-03-05T10:34:45.967
2228457,2942.0,25,מעורבות אלי פלדשטיין בפעילות עבור קטאר,48,רגילה,6,30106,568,2025-02-25T15:28:27.317,,2025-02-25T15:30:14.943
2228539,2944.0,25,"""קול לכולם"" מוקד למניעת דחייה חברתית וחרם",48,רגילה,9,30881,1004,2025-02-25T15:42:27.273,2025-05-22T00:00:00,2025-05-22T13:03:55.833
2228572,2945.0,25,כשלים חמורים בחקירת היעלמותה של היימנוט קסאו,48,רגילה,6,30106,1361,2025-02-25T15:44:40.604,,2025-02-25T15:46:06.23
2228607,2946.0,25,מחסום מכבים,48,רגילה,6,30672,1361,2025-02-25T15:46:19.448,,2025-02-25T15:48:54.717
2228658,2943.0,25,פגיעה בצמצום אוכלוסיית החתולים כתוצאה מעיכוב בפרסום הקול הקורא לתמיכה ברשויות בנוגע לעיקור וסירוס חתולים,48,רגילה,9,30783,967,2025-02-25T15:30:41.647,2025-03-19T00:00:00,2025-03-19T22:00:57.353
2228684,2947.0,25,חסימת הכניסה והיציאה לשכונת אלעיזריה והכפרים הסמוכים בירושלים,48,רגילה,6,30066,1361,2025-04-10T10:29:19.157,,2025-04-10T10:31:57.28
2228687,2948.0,25,הצבת מחסומים ברחבי הגדה המערבית,48,רגילה,6,30066,1178,2025-02-25T16:01:09.331,,2025-02-25T16:17:46.037
2228688,2949.0,25,מעצרים מנהליים נגד אזרחים ערבים,48,רגילה,6,30558,1178,2025-02-25T16:18:07.932,,2025-02-25T16:20:02.757
2228690,2950.0,25,  הגנה על הכפרים הבלתי מוכרים מירי רקטי,48,רגילה,6,30558,1178,2025-02-25T16:28:27.197,,2025-02-25T16:29:52.1
2228691,2951.0,25,הריגתו של סדאם רג'ב בן ה- 7 בטולכרם על ידי חיילים,48,רגילה,6,30066,1178,2025-02-25T16:49:08.527,,2025-02-25T16:50:33.097
2228692,2952.0,25,  מעצרים מנהליים נגד אזרחי המדינה,48,רגילה,6,30558,1178,2025-02-25T16:50:45.204,,2025-02-25T16:52:58.963
2228693,2953.0,25,לפחות 52 ילדים ותינוקות מתו מרעב ותת תזונה בעזה,48,רגילה,6,30066,1178,2025-02-25T16:53:48.115,,2025-02-25T16:58:05.423
2228694,2954.0,25,דיווחים על מות עצירים/אסירים פלסטינים בבתי הכלא,48,רגילה,6,30066,1361,2025-02-25T17:02:08.061,,2025-02-25T17:04:00.937
2228701,2957.0,25,רצח של מת'קאל ריאן על ידי מתנחל,48,רגילה,6,30066,1178,2025-03-03T18:03:25.258,,2025-03-03T18:05:25.433
2228702,2958.0,25,הפוגרום בחווארה,48,רגילה,6,30066,1178,2025-03-03T18:06:27.143,,2025-03-03T18:09:52.067
2228703,2959.0,25,חיילים בפוסט טראומה יוצאים עם נשקים,48,רגילה,6,30066,1178,2025-03-03T18:10:05.143,,2025-03-03T18:12:07.777
2228753,2962.0,25,זיהום האוויר ותמותה בישראל,48,רגילה,9,30601,1332,2025-03-03T18:36:56.681,2025-04-02T00:00:00,2025-05-11T14:30:40.22
2228759,3135.0,25,ביצוע תקציבי מתוקף החלטת הממשלה 1786 - תוכנית המענים לצפון,48,רגילה,9,30871,1237,2025-04-02T14:43:50.145,2025-05-13T00:00:00,2025-05-13T09:41:48.573
2228829,3012.0,25,ועדת השרים לחקיקה אישרה הצעת חוק המטילה מס של 80% על תרומות ממדינות זרות.,48,רגילה,6,30758,1237,2025-03-17T18:18:35.529,,2025-03-17T18:21:20.583
2228928,2928.0,25,השוואת ארכות חרבות ברזל בכל חלקי הארץ,50,דחופה,9,30694,1205,2025-02-24T12:50:32.341,2025-03-05T00:00:00,2025-03-05T18:43:12.187
2228951,3043.0,25,"ביטול החתמת אפוסטיל ע""י שליחים",50,דחופה,12,30480,1042,2025-03-23T13:09:45.547,,2025-06-04T09:44:09.44
