DataType,Total,Coalition,Opposition,Unknown,ResponseRate_Coalition,ResponseRate_Opposition
Bills,16778,3889,4062,8827,N/A,N/A
Queries,2579,274,968,1337,81.8%,68.3%
Agendas,6302,1214,1401,3687,N/A,N/A
