DataType,Total,Coalition,Opposition,Unknown,Coalition_ResponseRate,Opposition_ResponseRate
Bills,6063,2923,3140,0,N/A,N/A
Queries,1097,211,886,0,81.5%,66.4%
Agendas,2582,1003,1144,435,N/A,N/A
