AgendaID,KnessetNum,FactionID,FactionName,CoalitionStatus
2220862,25,,,
2220860,25,,,
2220858,25,,,
2220855,25,,,
2220853,25,,,
2220850,25,,,
2220731,25,1098.0,המחנה הממלכתי ,
2220515,25,1103.0,"חד""ש-תע""ל",
2220419,25,,,
2220417,25,,,
2220415,25,,,
2220412,25,,,
2220409,25,,,
2220402,25,,,
2220400,25,,,
2220386,25,1104.0,ישראל ביתנו,
2220119,25,,,
2220117,25,,,
2220114,25,,,
2220110,25,,,
2220107,25,,,
2220105,25,,,
2220103,25,,,
2220101,25,,,
2220032,25,1102.0,יש עתיד,
2220031,25,1106.0,עוצמה יהודית בראשות איתמר בן גביר,
2219790,25,1099.0,"רע""ם",
2219726,25,,,
2219724,25,,,
2219722,25,,,
2219720,25,,,
2219718,25,,,
2219716,25,,,
2219714,25,,,
2219712,25,,,
2219381,25,,,
2219379,25,,,
2219377,25,,,
2219375,25,,,
2219373,25,,,
2219370,25,,,
2219368,25,,,
2219366,25,,,
2219333,25,1095.0,"התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל",
2219178,25,,,
2219175,25,,,
2219173,25,,,
2219171,25,,,
2218911,25,,,
2218909,25,,,
2218860,25,,,
2218858,25,,,
2218856,25,,,
2218854,25,,,
2218851,25,,,
2218747,25,1106.0,עוצמה יהודית בראשות איתמר בן גביר,
2218565,25,,,
2218563,25,,,
2218559,25,,,
2218557,25,,,
2218555,25,,,
2218553,25,,,
2218551,25,,,
2218549,25,,,
2218149,25,,,
2218147,25,,,
2218145,25,,,
2218143,25,,,
2218141,25,,,
2218137,25,,,
2218133,25,,,
2218087,25,1095.0,"התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל",
2217535,25,,,
2217531,25,,,
2217009,25,,,
2217007,25,,,
2216995,25,,,
2216991,25,,,
2216834,25,1103.0,"חד""ש-תע""ל",
2216586,25,,,
2216584,25,,,
2216581,25,,,
2216578,25,,,
2216576,25,,,
2216574,25,,,
2216572,25,,,
2216570,25,,,
2216566,25,,,
2216562,25,,,
2215966,25,,,
2215963,25,,,
2215960,25,,,
2215957,25,,,
2215955,25,,,
2215951,25,,,
2215947,25,,,
2215688,25,,,
2215685,25,,,
2215682,25,,,
2215678,25,,,
2215676,25,,,
2215674,25,,,
2215515,25,1102.0,יש עתיד,
2215393,25,,,
2215391,25,,,
2215389,25,,,
2215383,25,,,
2215381,25,,,
2215377,25,,,
2215375,25,,,
2215142,25,,,
2215140,25,,,
2215137,25,,,
2215135,25,,,
2215092,25,,,
2215090,25,,,
2215088,25,,,
2214775,25,,,
2214773,25,,,
2214771,25,,,
2214769,25,,,
2214767,25,,,
2214732,25,1095.0,"התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל",
2214509,25,,,
2214507,25,,,
2214505,25,,,
2214463,25,,,
2214461,25,,,
2214458,25,,,
2214456,25,,,
2214454,25,,,
2214142,25,,,
2214140,25,,,
2214138,25,,,
2214136,25,,,
2214134,25,,,
2214132,25,,,
2213810,25,,,
2213806,25,,,
2213804,25,,,
2213802,25,1099.0,"רע""ם",
2213801,25,,,
2213795,25,,,
2213793,25,,,
2213466,25,,,
2213463,25,,,
2213460,25,,,
2213458,25,,,
2213455,25,,,
2213453,25,,,
2213451,25,,,
2213449,25,,,
2213447,25,,,
2213298,25,1104.0,ישראל ביתנו,
2213164,25,,,
2213162,25,,,
2213160,25,,,
2213136,25,,,
2213133,25,,,
2213131,25,,,
2213016,25,1096.0,הליכוד ,
2212933,25,1100.0,העבודה,
2212814,25,,,
2212812,25,,,
2212810,25,,,
2212808,25,,,
2212805,25,,,
2212797,25,,,
2212794,25,,,
2212540,25,,,
2212536,25,,,
2212533,25,,,
2212527,25,,,
2212524,25,,,
2212203,25,,,
2212201,25,,,
2212188,25,,,
2212186,25,,,
2212183,25,,,
2212180,25,,,
2212169,25,,,
2211921,25,,,
2211919,25,,,
2211917,25,,,
2211726,25,,,
2211724,25,,,
2211722,25,,,
2211720,25,,,
2211714,25,,,
2211469,25,,,
2211467,25,,,
2211465,25,,,
2211463,25,,,
2211453,25,,,
2211451,25,,,
2211236,25,,,
2211052,25,1102.0,יש עתיד,
2211007,25,,,
2211002,25,,,
2210241,25,,,
2210227,25,,,
2209305,25,1099.0,"רע""ם",
2209304,25,1103.0,"חד""ש-תע""ל",
2209127,25,,,
2209125,25,,,
2208755,25,1096.0,הליכוד ,
2208722,25,,,
2208720,25,,,
2208717,25,,,
2208715,25,,,
2208712,25,,,
2208294,25,,,
2208291,25,,,
2208289,25,,,
2208283,25,,,
2208281,25,,,
2207839,25,,,
2207837,25,,,
2207835,25,,,
2207829,25,,,
2207827,25,,,
2207825,25,,,
2207822,25,,,
2207754,25,1105.0,הציונות הדתית בראשות בצלאל סמוטריץ',
2207431,25,,,
2207429,25,,,
2207427,25,,,
2207425,25,,,
2207423,25,,,
2207419,25,,,
2207370,25,1095.0,"התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל",
2207009,25,,,
2207007,25,,,
2207005,25,,,
2206998,25,,,
2206996,25,,,
2206994,25,,,
2206929,25,1096.0,הליכוד ,
2206916,25,1095.0,"התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל",
2206615,25,,,
2206613,25,,,
2206610,25,,,
2206607,25,,,
2206604,25,,,
2206602,25,,,
2206230,25,1096.0,הליכוד ,
2206226,25,1109.0,"חה""כ עידן רול",
2206202,25,,,
2206200,25,,,
2206194,25,,,
2206192,25,,,
2206190,25,,,
2206133,25,1099.0,"רע""ם",
2206114,25,1095.0,"התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל",
2206050,25,1096.0,הליכוד ,
2205534,25,,,
2205532,25,,,
2205530,25,,,
2205527,25,,,
2205524,25,,,
2205522,25,,,
2205272,25,1095.0,"התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל",
2205130,25,,,
2205128,25,,,
2205126,25,,,
2205123,25,,,
2204778,25,1102.0,יש עתיד,
2204716,25,,,
2204714,25,,,
2204481,25,1103.0,"חד""ש-תע""ל",
2203589,25,,,
2203587,25,,,
2203585,25,,,
2203583,25,,,
2203580,25,,,
2203542,25,1095.0,"התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל",
2203505,25,1099.0,"רע""ם",
2203119,25,,,
2203108,25,,,
2202492,25,,,
2202490,25,,,
2202488,25,,,
2202481,25,,,
2202479,25,,,
2202383,25,1096.0,הליכוד ,
2202091,25,,,
2202089,25,,,
2202084,25,,,
2202082,25,,,
2202080,25,,,
2202059,25,1096.0,הליכוד ,
2201606,25,,,
2201604,25,,,
2201601,25,,,
2201599,25,,,
2201580,25,1095.0,"התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל",
2201145,25,,,
2201143,25,,,
2201141,25,,,
2201139,25,,,
2201120,25,,,
2201118,25,,,
2201116,25,,,
2201091,25,1098.0,המחנה הממלכתי ,
2200699,25,,,
2200697,25,,,
2200691,25,,,
2200689,25,,,
2200236,25,,,
2200233,25,,,
2200221,25,,,
2200219,25,,,
2200150,25,1102.0,יש עתיד,
2200073,25,1096.0,הליכוד ,
2200005,25,1096.0,הליכוד ,
2199798,25,,,
2199796,25,,,
2199757,25,,,
2199716,25,1095.0,"התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל",
2199347,25,,,
2199289,25,1096.0,הליכוד ,
2199266,25,1103.0,"חד""ש-תע""ל",
2195436,24,,,
2195428,24,,,
2195424,24,,,
2195418,24,,,
2194743,24,,,
2194707,24,971.0,"ש""ס",
2194686,24,1089.0,"הרשימה המשותפת (חד""ש, בל""ד)",
2194670,24,971.0,"ש""ס",
2194657,24,1089.0,"הרשימה המשותפת (חד""ש, בל""ד)",
2194560,24,971.0,"ש""ס",
2194527,24,,,
2194463,24,,,
2194437,24,,,
2194435,24,,,
2194433,24,,,
2194431,24,,,
2194429,24,,,
2194427,24,,,
2194424,24,,,
2194422,24,,,
2194420,24,,,
